"","zone_origin","akb","akb2007","aral","aral2007"
"1","E01000001",3182.6935,2902.67945,5041.22609,2979.38716
"2","E01000002",3080.12329,2766.27114,4857.05012,2833.93111
"3","E01000003",3217.7529,2965.5432,4703.36355,2772.62561
"4","E01000005",2757.35308,2469.1542,4492.41435,2610.57939
"5","E01000006",1503.21949,1371.8176,2636.98579,1554.39375
"6","E01000007",1929.39734,1746.49226,3456.41384,2009.16545
"7","E01000008",1607.74384,1464.50914,2824.12497,1659.92236
"8","E01000009",1762.74228,1595.33856,3115.83508,1824.17361
"9","E01000010",1781.55371,1618.82569,3110.09146,1821.93286
"10","E01000011",1689.41495,1534.14727,2993.31542,1749.03959
"11","E01000012",1743.55507,1580.79905,3089.49526,1804.10621
"12","E01000013",1447.13666,1323.52403,2538.71612,1507.86815
"13","E01000014",1419.2248,1295.23098,2492.30917,1481.89274
"14","E01000015",1412.36363,1290.08121,2484.52023,1473.94915
"15","E01000016",1406.27088,1282.45828,2467.54178,1464.35178
"16","E01000017",1452.37544,1329.08235,2540.27156,1511.99635
"17","E01000018",1261.11739,1155.92505,2198.96968,1309.45732
"18","E01000019",1471.34515,1341.66769,2593.1184,1537.80794
"19","E01000020",1474.71786,1342.45398,2597.21139,1536.64401
"20","E01000021",1442.19881,1315.68079,2539.70158,1509.30391
"21","E01000022",1317.40823,1204.55721,2306.18357,1370.04579
"22","E01000023",1461.36218,1336.31522,2571.3645,1522.21075
"23","E01000024",1448.24719,1324.88481,2549.09128,1515.00242
"24","E01000025",1431.28443,1305.23047,2511.18922,1493.29656
"25","E01000027",1341.34985,1227.51557,2342.46876,1393.92152
"26","E01000028",1099.54048,1009.33937,1911.34027,1141.19663
"27","E01000029",1290.52034,1179.1982,2253.21326,1344.64646
"28","E01000030",1303.66746,1190.77458,2265.39309,1352.00622
"29","E01000031",1438.54888,1312.49523,2515.11084,1493.1662
"30","E01000032",1542.81649,1404.49693,2709.0432,1600.40655
"31","E01000033",1180.0305,1082.93607,2060.54494,1229.66137
"32","E01000034",1327.98057,1218.67209,2326.67933,1384.91772
"33","E01000035",1397.98309,1282.08388,2456.30888,1460.58569
"34","E01000036",1475.29716,1351.17457,2594.81986,1539.01879
"35","E01000037",1196.02585,1099.76158,2081.78326,1240.18984
"36","E01000038",1394.12829,1281.80136,2437.41759,1450.1366
"37","E01000039",1278.74439,1174.34434,2232.12418,1327.12477
"38","E01000040",1650.86934,1507.60894,2843.72951,1678.67041
"39","E01000041",1417.31653,1293.80262,2469.78255,1465.49646
"40","E01000042",1668.19543,1518.25699,2964.61956,1720.7121
"41","E01000043",1570.25307,1428.688,2758.56876,1623.27275
"42","E01000044",1478.00726,1348.13967,2577.35971,1521.32488
"43","E01000045",1550.02076,1398.16302,2637.7459,1564.21493
"44","E01000046",1468.55047,1342.0386,2565.52464,1520.6459
"45","E01000048",1597.60944,1450.2865,2793.27319,1647.54149
"46","E01000049",1550.92816,1413.0901,2710.37099,1596.55986
"47","E01000050",1703.98985,1548.35761,2987.47846,1753.04999
"48","E01000051",1636.45128,1487.539,2879.49212,1692.55563
"49","E01000052",1602.3461,1458.50277,2799.4626,1650.03789
"50","E01000053",1362.41574,1206.73783,2360.65025,1376.21979
"51","E01000054",1363.42472,1245.62463,2377.85474,1408.80393
"52","E01000055",1446.54056,1321.3315,2529.73348,1497.88314
"53","E01000056",1349.4518,1227.92185,2348.39483,1388.37172
"54","E01000057",1600.04391,1459.43549,2807.90029,1658.07341
"55","E01000058",1475.61936,1346.35308,2590.07347,1532.86469
"56","E01000059",1257.15934,1150.27095,2188.88996,1300.33275
"57","E01000060",1352.17998,1232.58761,2366.69406,1416.62136
"58","E01000061",1346.75656,1227.97742,2369.72785,1404.31644
"59","E01000062",1366.56427,1251.96728,2380.53218,1419.10295
"60","E01000063",1351.52717,1228.82101,2356.00089,1404.51397
"61","E01000064",1256.18384,1149.29024,2195.28535,1308.18511
"62","E01000065",1353.75915,1237.06249,2372.48393,1412.38511
"63","E01000066",1348.37714,1232.99422,2359.0685,1398.89794
"64","E01000067",1538.45185,1402.44767,2717.30232,1607.58351
"65","E01000068",1707.66386,1551.80415,3018.06159,1769.40233
"66","E01000069",1525.84634,1392.68696,2673.41505,1576.3474
"67","E01000070",1577.77573,1434.69556,2767.7713,1634.18898
"68","E01000071",1784.06772,1617.02105,3143.06662,1841.80392
"69","E01000072",1373.09902,1255.26107,2393.11344,1421.11914
"70","E01000073",1386.56791,1268.49329,2430.08142,1442.75976
"71","E01000074",1545.45066,1408.34808,2717.00058,1609.81159
"72","E01000075",1588.7327,1447.75805,2789.14458,1650.61998
"73","E01000076",1309.08815,1198.21845,2281.11432,1355.51179
"74","E01000077",1444.76009,1318.16413,2539.29745,1511.01641
"75","E01000078",1462.49168,1333.28715,2573.21125,1529.72992
"76","E01000079",1384.65478,1264.45805,2440.04116,1449.61853
"77","E01000080",1494.0912,1363.33425,2628.12766,1561.66387
"78","E01000081",1263.59659,1156.38488,2208.02113,1315.06712
"79","E01000082",1348.79259,1232.32964,2363.48298,1406.67189
"80","E01000083",1493.56923,1359.54931,2636.5164,1575.31433
"81","E01000084",1462.0914,1333.82554,2578.98035,1530.06801
"82","E01000085",1438.68718,1312.97417,2537.83,1503.36507
"83","E01000086",1373.14069,1250.25412,2408.66701,1425.72997
"84","E01000087",1305.911,1184.88204,2250.12682,1334.60871
"85","E01000088",1240.35907,1133.1799,2152.29637,1274.97847
"86","E01000089",1089.22135,999.47149,1886.27123,1124.55006
"87","E01000090",1267.15244,1155.14424,2190.08748,1295.49289
"88","E01000091",1327.33388,1220.84584,2259.93453,1349.96412
"89","E01000092",1360.24499,1242.79094,2369.46387,1401.32193
"90","E01000093",1440.7219,1316.23242,2490.27375,1475.06971
"91","E01000094",1314.40055,1202.13948,2237.72237,1330.43403
"92","E01000095",1337.92811,1225.1496,2366.98703,1395.8142
"93","E01000096",1529.41839,1398.41861,2664.59117,1580.48549
"94","E01000097",1581.78406,1437.03711,2816.42672,1663.1813
"95","E01000098",1536.17731,1400.87474,2703.78801,1600.58204
"96","E01000099",1484.79336,1353.84174,2630.57208,1557.61453
"97","E01000100",1438.47025,1313.88553,2523.88108,1495.33805
"98","E01000101",1331.87017,1215.64204,2333.6768,1392.47827
"99","E01000102",1522.99046,1385.52966,2675.7174,1584.13169
"100","E01000103",1277.83111,1170.31149,2222.09687,1318.04174
"101","E01000104",1420.29771,1320.49571,2494.82804,1480.08219
"102","E01000105",1492.55346,1362.1046,2623.63443,1551.28556
"103","E01000106",1318.91547,1206.04525,2299.44523,1365.28713
"104","E01000107",1176.39331,1080.22414,2048.08076,1220.05515
"105","E01000108",1406.79496,1280.51604,2480.37231,1467.42247
"106","E01000109",1436.85899,1312.26328,2527.81068,1498.1091
"107","E01000110",1433.21593,1308.46551,2505.44764,1488.58725
"108","E01000111",1395.29099,1276.91014,2451.76864,1457.31668
"109","E01000112",1698.19835,1538.22905,3029.35627,1783.70827
"110","E01000113",1638.61122,1487.67482,2891.32167,1709.81001
"111","E01000114",1373.78114,1252.72133,2404.6998,1429.49447
"112","E01000115",1592.61268,1481.05784,2738.93622,1638.41513
"113","E01000116",1550.3153,1441.41373,2651.08792,1586.32989
"114","E01000117",1597.42176,1483.14431,2738.46881,1638.72992
"115","E01000118",1542.19802,1432.4425,2645.66104,1585.14394
"116","E01000119",1627.91753,1512.83713,2796.86691,1671.6102
"117","E01000120",1513.58026,1408.86939,2604.0352,1560.71382
"118","E01000121",1665.13714,1547.16357,2858.2342,1707.59474
"119","E01000122",1673.55132,1553.34489,2873.09758,1713.99422
