"","LSOA11CD","LSOA11NM","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","pups2007","pups2015","pop2007","pop2015","good2007","good2015","bad2007","bad2015","ratio_stu_pop2007","ratio_stu_pop2015","per_good2007","per_bad2007","per_good2015","per_bad2015","rate_change_good","rate_change_bad","X.y","akb","akb2007","aral","aral2007","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","changeratio","change_good","change_ral","change_kb","difIMD","difIncome","difEmploy","difEdu"
"1","E01000001","City of London 001A","E02000001","City of London 001","E09000001","City of London","E12000007","London",1465,1465,0,112.9,876,1.7,200,207,92,209,23,37,0,92,2.17391304347826,2.37931034482759,11.5,0,17.8743961352657,44.4444444444444,35.6621621621622,0,1,3182.6935,2902.67945,5041.22609,2979.38716,29006,32389,32371,30298,29111,32813,32716,32840,1.09448275862069,1.60869565217391,1.69203457599649,1.09646743804246,105,424,345,2542
"2","E01000002","City of London 001B","E02000001","City of London 001","E09000001","City of London","E12000007","London",1436,1436,0,62.9,830,1.7,233,245,136,195,142,27,0,0,1.71323529411765,3.35616438356164,60.9442060085837,0,11.0204081632653,0,-453.012239707519,NA,2,3080.12329,2766.27114,4857.05012,2833.93111,31243,32410,32388,30171,28855,32780,32692,32836,1.95896290199306,0.190140845070423,1.71389138672464,1.11345675608646,-2388,370,304,2665
"3","E01000003","City of London 001C","E02000001","City of London 001","E09000001","City of London","E12000007","London",1346,1250,96,227.7,817,1.5,155,161,114,165,90,10,0,0,1.35964912280702,3.74418604651163,58.0645161290323,0,6.2111801242236,0,-834.83870967742,NA,3,3217.7529,2965.5432,4703.36355,2772.62561,18799,19625,17867,25004,14621,17600,18133,22251,2.75378844711177,0.111111111111111,1.69635724817531,1.08504671252133,-4178,-2025,266,-2753
"4","E01000005","City of London 001E","E02000001","City of London 001","E09000001","City of London","E12000007","London",985,985,0,52,467,2.1,107,129,187,244,39,44,10,4,0.572192513368984,1.05737704918033,36.4485981308411,9.34579439252336,34.1085271317829,3.10077519379845,-6.8606627017842,0,4,2757.35308,2469.1542,4492.41435,2610.57939,8162,3772,9524,14017,10285,7255,9641,17420,1.84793932894132,1.12820512820513,1.72084954290549,1.11671967672169,2123,3483,117,3403
"5","E01000006","Barking and Dagenham 016A","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1703,1699,4,116.2,543,3.1,240,497,359,480,45,320,57,0,0.668523676880223,1.38826815642458,18.75,23.75,64.3863179074447,0,70.87890625,NA,5,1503.21949,1371.8176,2636.98579,1554.39375,13367,12586,18856,18749,12345,14190,16938,17806,2.0766177839851,7.11111111111111,1.69647220339119,1.09578670662922,-1022,1604,-1918,-943
"6","E01000007","Barking and Dagenham 015A","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1391,1391,0,69.6,612,2.3,277,487,216,585,82,219,0,62,1.28240740740741,1.04956896551724,29.6028880866426,0,44.9691991786448,12.7310061601643,34.1707465835847,0,6,1929.39734,1746.49226,3456.41384,2009.16545,4452,3961,9381,2757,3778,3337,4952,22384,0.818436449645211,2.67073170731707,1.72032315208287,1.10472710597641,-674,-624,-4429,19627
"7","E01000008","Barking and Dagenham 015B","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1544,1544,0,79.1,521,3,257,428,493,534,82,157,98,3,0.521298174442191,1.0363196125908,31.9066147859922,38.1322957198444,36.6822429906542,0.700934579439252,13.0189100101614,0,7,1607.74384,1464.50914,2824.12497,1659.92236,3291,1646,6564,6322,5028,3727,7233,9764,1.98795941247963,1.91463414634146,1.70135967684657,1.09780389625974,1737,2081,669,3442
"8","E01000009","Barking and Dagenham 016B","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1773,1773,0,138.6,638,2.8,262,489,318,369,45,358,0,0,0.823899371069182,1.97975708502024,17.175572519084,0,73.2106339468303,0,76.5395112797987,NA,8,1762.74228,1595.33856,3115.83508,1824.17361,7892,6612,10797,13873,6750,7136,10781,19103,2.40291127113144,7.95555555555556,1.70808034000667,1.10493303690973,-1142,524,-16,5230
"9","E01000010","Barking and Dagenham 015C","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",2840,2840,0,80.7,1103,2.6,338,670,360,835,143,178,20,0,0.938888888888889,1.13945578231293,42.3076923076923,5.91715976331361,26.5671641791045,0,-59.248055315471,NA,9,1781.55371,1618.82569,3110.09146,1821.93286,2913,2478,4868,8227,7796,8548,20399,18825,1.21362154329188,1.24475524475524,1.70702857842961,1.10052226191197,4883,6070,15531,10598
"10","E01000011","Barking and Dagenham 016C","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1634,1628,6,178.2,457,3.6,227,441,326,406,82,203,0,0,0.696319018404908,1.55281690140845,36.1233480176211,0,46.031746031746,0,21.5251405134437,NA,10,1689.41495,1534.14727,2993.31542,1749.03959,7492,3879,10933,14229,8209,8170,15348,13663,2.23003660730905,2.47560975609756,1.71140518322973,1.10120780647089,717,4291,4415,-566
