Codes;Names;pop0-15;Working age
E01000001;City of London 001A;92;1186
E01000002;City of London 001B;136;1092
E01000003;City of London 001C;114;1229
E01000004;City of London 001D;82;1715
E01000005;City of London 001E;187;808
E01000006;Barking and Dagenham 016A;359;1235
E01000007;Barking and Dagenham 015A;216;785
E01000008;Barking and Dagenham 015B;493;978
E01000009;Barking and Dagenham 016B;318;1143
E01000010;Barking and Dagenham 015C;360;1068
E01000011;Barking and Dagenham 016C;326;1043
E01000012;Barking and Dagenham 015D;417;924
E01000013;Barking and Dagenham 013A;344;954
E01000014;Barking and Dagenham 013B;364;967
E01000015;Barking and Dagenham 009A;548;1089
E01000016;Barking and Dagenham 009B;398;987
E01000017;Barking and Dagenham 009C;362;959
E01000018;Barking and Dagenham 009D;391;976
E01000019;Barking and Dagenham 005A;329;867
E01000020;Barking and Dagenham 005B;489;1033
E01000021;Barking and Dagenham 008A;376;1001
E01000022;Barking and Dagenham 008B;410;862
E01000023;Barking and Dagenham 008C;165;1006
E01000024;Barking and Dagenham 008D;324;797
E01000025;Barking and Dagenham 008E;364;941
E01000026;Barking and Dagenham 005C;330;808
E01000027;Barking and Dagenham 001A;400;882
E01000028;Barking and Dagenham 001B;361;888
E01000029;Barking and Dagenham 001C;289;839
E01000030;Barking and Dagenham 001D;457;1033
E01000031;Barking and Dagenham 002A;299;987
E01000032;Barking and Dagenham 002B;353;938
E01000033;Barking and Dagenham 006A;342;799
E01000034;Barking and Dagenham 003A;345;815
E01000035;Barking and Dagenham 010A;293;913
E01000036;Barking and Dagenham 010B;307;827
E01000037;Barking and Dagenham 003B;302;1048
E01000038;Barking and Dagenham 003C;298;847
E01000039;Barking and Dagenham 003D;335;982
E01000040;Barking and Dagenham 019A;325;884
E01000041;Barking and Dagenham 017A;394;1006
E01000042;Barking and Dagenham 017B;408;958
E01000043;Barking and Dagenham 019B;298;791
E01000044;Barking and Dagenham 016D;407;1034
E01000045;Barking and Dagenham 017C;386;988
E01000046;Barking and Dagenham 017D;430;1008
E01000047;Barking and Dagenham 021A;677;1543
E01000048;Barking and Dagenham 021B;608;1073
E01000049;Barking and Dagenham 021C;555;1056
E01000050;Barking and Dagenham 019C;380;959
E01000051;Barking and Dagenham 021D;630;1145
E01000052;Barking and Dagenham 019D;386;1133
E01000053;Barking and Dagenham 020A;356;934
E01000054;Barking and Dagenham 018A;370;957
E01000055;Barking and Dagenham 018B;407;940
E01000056;Barking and Dagenham 018C;401;882
E01000057;Barking and Dagenham 012A;377;850
E01000058;Barking and Dagenham 018D;359;916
E01000059;Barking and Dagenham 013C;428;898
E01000060;Barking and Dagenham 006B;408;963
E01000061;Barking and Dagenham 006C;582;1051
E01000062;Barking and Dagenham 006D;414;1040
E01000063;Barking and Dagenham 004A;388;990
E01000064;Barking and Dagenham 006E;389;952
E01000065;Barking and Dagenham 007A;379;982
E01000066;Barking and Dagenham 011A;352;1007
E01000067;Barking and Dagenham 011B;367;1075
E01000068;Barking and Dagenham 016E;275;914
E01000069;Barking and Dagenham 011C;363;1009
E01000070;Barking and Dagenham 011D;370;1096
E01000071;Barking and Dagenham 011E;431;1254
E01000072;Barking and Dagenham 017E;427;1035
E01000073;Barking and Dagenham 012B;392;886
E01000074;Barking and Dagenham 012C;393;887
E01000075;Barking and Dagenham 012D;407;986
E01000076;Barking and Dagenham 012E;454;1051
E01000077;Barking and Dagenham 008F;366;835
E01000078;Barking and Dagenham 007B;404;989
E01000079;Barking and Dagenham 009E;335;883
E01000080;Barking and Dagenham 007C;384;863
E01000081;Barking and Dagenham 007D;380;971
E01000082;Barking and Dagenham 007E;421;1007
E01000083;Barking and Dagenham 007F;364;981
E01000084;Barking and Dagenham 013D;314;792
E01000085;Barking and Dagenham 013E;377;984
E01000086;Barking and Dagenham 013F;332;844
E01000087;Barking and Dagenham 020B;316;817
E01000088;Barking and Dagenham 020C;374;1044
E01000089;Barking and Dagenham 020D;411;1019
E01000090;Barking and Dagenham 020E;403;938
E01000091;Barking and Dagenham 022A;388;883
E01000092;Barking and Dagenham 019E;534;1410
E01000093;Barking and Dagenham 022B;337;928
E01000094;Barking and Dagenham 022C;429;1068
E01000095;Barking and Dagenham 018E;395;952
E01000096;Barking and Dagenham 022D;625;1122
E01000097;Barking and Dagenham 005D;373;885
E01000098;Barking and Dagenham 005E;389;993
E01000099;Barking and Dagenham 005F;344;949
E01000100;Barking and Dagenham 004B;420;916
E01000101;Barking and Dagenham 004C;320;877
E01000102;Barking and Dagenham 007G;349;877
E01000103;Barking and Dagenham 014A;472;968
E01000104;Barking and Dagenham 014B;507;977
E01000105;Barking and Dagenham 014C;496;1169
E01000106;Barking and Dagenham 014D;436;1136
E01000107;Barking and Dagenham 010C;299;878
E01000108;Barking and Dagenham 010D;254;968
E01000109;Barking and Dagenham 004D;398;1002
E01000110;Barking and Dagenham 002C;273;901
E01000111;Barking and Dagenham 002D;374;1036
E01000112;Barking and Dagenham 002E;335;1067
E01000113;Barking and Dagenham 002F;331;1074
E01000114;Barking and Dagenham 004E;407;1221
E01000115;Barnet 009A;256;878
E01000116;Barnet 009B;367;1051
E01000117;Barnet 010A;280;1000
E01000118;Barnet 010B;366;1100
E01000119;Barnet 009C;270;1042
E01000120;Barnet 009D;272;906
E01000121;Barnet 010C;358;867
E01000122;Barnet 009E;294;932
E01000123;Barnet 010D;302;1063
E01000124;Barnet 010E;277;976
E01000125;Barnet 024A;478;1195
E01000126;Barnet 026A;596;1066
E01000127;Barnet 024B;351;979
E01000128;Barnet 024C;431;1058
E01000129;Barnet 024D;364;931
E01000130;Barnet 021A;359;1016
E01000131;Barnet 024E;349;1077
E01000132;Barnet 021B;425;905
E01000133;Barnet 021C;384;1009
E01000134;Barnet 024F;395;971
E01000135;Barnet 038A;278;923
E01000136;Barnet 038B;280;931
E01000137;Barnet 041A;298;917
E01000138;Barnet 040A;267;879
E01000139;Barnet 041B;247;922
E01000140;Barnet 041C;196;1073
E01000141;Barnet 039A;338;1240
E01000142;Barnet 040B;379;1535
E01000143;Barnet 041D;280;856
E01000144;Barnet 038C;201;1003
E01000145;Barnet 037A;396;853
E01000146;Barnet 038D;209;1125
E01000147;Barnet 030A;295;1048
E01000148;Barnet 030B;364;1072
E01000149;Barnet 030C;317;1538
E01000150;Barnet 036A;328;1210
E01000151;Barnet 026B;531;960
E01000152;Barnet 026C;586;956
E01000153;Barnet 026D;399;921
E01000154;Barnet 026E;391;909
E01000155;Barnet 030D;284;1150
E01000156;Barnet 022A;346;1173
E01000157;Barnet 022B;282;1055
E01000158;Barnet 015A;292;1010
E01000159;Barnet 015B;356;1102
E01000160;Barnet 015C;318;1379
E01000161;Barnet 015D;256;1314
E01000162;Barnet 015E;266;957
E01000163;Barnet 022C;276;1074
E01000164;Barnet 022D;318;1091
E01000165;Barnet 022E;312;1281
E01000166;Barnet 003A;295;985
E01000167;Barnet 002A;258;914
E01000168;Barnet 003B;297;930
E01000169;Barnet 003C;279;1073
E01000170;Barnet 006A;345;1058
E01000171;Barnet 006B;372;1364
E01000172;Barnet 003D;364;1024
E01000173;Barnet 006C;368;1175
E01000174;Barnet 006D;377;1162
E01000175;Barnet 006E;306;1021
E01000176;Barnet 027A;410;1040
E01000177;Barnet 029A;237;1134
E01000178;Barnet 027B;342;1108
E01000179;Barnet 029B;234;1235
E01000180;Barnet 029C;260;967
E01000181;Barnet 029D;267;1146
E01000182;Barnet 029E;266;1200
E01000183;Barnet 033A;257;840
E01000184;Barnet 027C;330;863
E01000185;Barnet 029F;347;1004
E01000186;Barnet 014A;419;1009
E01000187;Barnet 014B;379;977
E01000188;Barnet 014C;302;986
E01000189;Barnet 014D;489;1089
E01000190;Barnet 014E;341;983
E01000191;Barnet 014F;264;885
E01000192;Barnet 018A;286;1090
E01000193;Barnet 018B;320;1088
E01000194;Barnet 018C;287;1103
E01000195;Barnet 013A;378;1052
