Area Codes;lsoanm;All Ages;0-15;Working.age;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90
E01000027;Barking and Dagenham 001A;1842;507;1123;26;26;23;33;26;47;44;43;31;35;41;32;26;25;24;25;33;25;26;22;28;14;27;25;22;25;21;27;23;23;32;37;26;22;27;20;12;23;24;23;30;18;34;27;26;26;20;27;24;28;24;24;13;30;21;25;21;17;18;15;17;9;9;19;14;9;4;7;15;4;7;9;4;6;5;6;4;12;13;8;8;8;10;9;10;6;6;9;5;5;23
E01000028;Barking and Dagenham 001B;1679;460;1002;27;31;27;37;29;23;32;38;25;28;31;34;25;20;23;30;31;31;27;27;21;21;23;10;18;23;23;30;21;23;22;23;31;24;17;21;19;19;26;18;19;35;21;19;25;28;31;20;25;23;20;26;25;14;14;16;10;6;10;11;7;8;11;16;13;7;12;6;11;11;17;6;10;11;2;14;4;10;6;8;11;4;9;8;7;4;2;4;0;5;28
E01000029;Barking and Dagenham 001C;1646;305;901;18;19;19;25;15;20;24;26;22;20;15;20;14;17;15;16;19;16;15;13;18;13;11;13;13;29;19;15;12;13;24;18;18;23;22;26;22;24;25;23;14;20;22;17;25;28;19;12;24;25;15;21;17;20;19;17;17;16;19;12;16;16;16;16;14;14;22;17;16;22;34;18;24;13;17;20;9;24;12;25;22;10;12;10;10;14;11;8;9;5;42
E01000030;Barking and Dagenham 001D;2134;665;1263;41;41;46;55;51;53;58;50;30;45;31;35;38;42;21;28;29;20;15;16;19;23;25;28;22;41;37;45;41;44;31;40;28;35;41;24;21;35;33;34;34;32;31;24;24;29;25;24;29;31;32;22;19;14;24;21;12;19;19;13;11;10;15;8;14;12;8;11;17;9;4;10;5;16;6;5;5;9;4;9;10;8;7;8;7;6;7;5;2;7;9
E01000031;Barking and Dagenham 002A;1723;352;1116;25;24;21;19;22;17;19;27;22;20;27;27;25;17;21;19;31;29;29;20;17;21;17;24;24;23;24;28;22;27;36;27;35;28;25;29;34;14;16;18;21;18;24;19;32;24;17;28;25;17;26;28;27;23;16;18;18;20;23;19;9;19;17;16;14;20;21;12;17;9;12;14;15;10;8;17;9;12;8;8;9;7;7;8;5;5;2;3;2;2;13
E01000032;Barking and Dagenham 002B;1745;426;1085;29;20;34;21;18;31;25;32;27;30;34;22;33;33;18;19;23;25;16;19;25;20;20;26;28;29;21;23;17;28;29;17;25;29;29;26;22;27;20;18;24;22;25;26;29;24;16;25;23;17;20;25;17;27;20;24;22;22;18;23;15;14;11;16;18;11;16;12;15;18;14;10;12;11;8;10;9;9;10;7;5;10;4;4;5;7;9;2;1;3;12
E01000110;Barking and Dagenham 002C;1472;310;957;22;22;19;30;16;28;19;18;23;13;22;15;14;18;18;13;22;12;30;15;20;23;18;17;27;24;19;24;28;26;18;15;16;20;21;19;22;16;18;14;20;26;15;28;29;16;15;22;18;11;23;26;16;22;16;19;17;18;21;11;30;18;19;7;10;7;8;11;16;10;20;8;7;8;8;7;9;4;4;8;6;7;8;5;2;14;2;2;11;0;13
E01000111;Barking and Dagenham 002D;2006;526;1232;39;26;46;55;28;40;40;34;32;37;26;29;17;26;17;34;30;23;25;15;22;21;12;27;30;29;26;35;34;32;37;31;37;32;29;29;32;38;31;25;29;30;28;11;33;28;32;29;24;22;26;15;31;19;15;28;18;16;27;18;16;17;6;16;16;9;17;11;12;12;5;14;12;11;9;11;9;10;6;14;9;11;11;8;6;3;6;4;2;6;20
E01000112;Barking and Dagenham 002E;2067;479;1389;43;45;44;28;28;33;31;43;31;20;27;23;19;19;26;19;15;23;29;20;30;21;34;28;34;38;34;28;34;41;46;42;54;37;52;30;35;31;27;31;41;36;24;32;33;31;32;20;24;32;22;24;20;30;29;25;26;16;15;17;10;14;16;10;16;12;10;7;6;8;15;9;4;12;9;6;8;9;4;5;6;4;5;10;5;5;7;8;3;6;16
E01000113;Barking and Dagenham 002F;1797;476;1152;40;42;28;35;47;33;28;26;30;25;31;24;30;14;24;19;19;17;24;13;16;12;13;14;22;28;23;22;27;30;33;31;29;36;28;38;30;41;42;28;20;27;19;18;20;35;29;32;30;26;23;18;21;20;28;20;23;22;23;21;14;11;8;17;11;12;10;8;13;7;8;9;16;4;4;8;6;6;9;3;8;5;3;5;6;5;1;4;3;1;5
E01000034;Barking and Dagenham 003A;1518;301;934;22;16;21;21;14;22;20;17;25;18;17;21;14;17;23;13;28;22;31;16;24;22;31;20;23;22;23;27;16;17;18;10;14;16;20;25;13;15;10;18;11;22;21;18;20;22;20;16;18;16;29;25;20;16;22;19;16;13;13;19;15;12;22;13;15;12;16;13;17;8;8;7;10;8;12;5;8;10;7;5;10;11;8;11;11;7;7;5;7;8;52
E01000037;Barking and Dagenham 003B;1782;291;1271;19;26;21;25;22;11;19;11;16;20;17;9;18;10;16;31;22;39;25;26;36;43;41;44;40;46;38;50;38;29;22;20;18;16;12;23;17;22;17;15;7;22;16;15;24;22;23;19;39;24;28;22;33;29;26;31;32;26;30;21;19;17;13;16;18;7;16;9;14;9;9;7;15;14;9;13;11;10;14;8;7;7;12;9;3;3;3;2;0;2;7
E01000038;Barking and Dagenham 003C;1555;296;979;19;29;14;17;17;27;22;21;17;12;14;20;10;14;31;12;20;23;28;20;23;23;27;23;26;21;20;22;18;10;20;17;15;11;15;19;18;23;22;16;14;21;11;17;11;25;20;19;21;19;29;31;27;20;31;28;21;20;15;12;15;17;18;17;20;15;10;21;17;17;9;10;10;13;8;15;8;13;8;8;13;14;11;8;5;7;6;4;5;6;19
E01000039;Barking and Dagenham 003D;1636;366;1005;22;30;24;31;18;30;33;26;17;24;28;14;13;17;23;16;23;26;19;18;28;19;24;11;19;17;24;26;11;17;30;25;22;35;27;18;27;15;29;27;19;36;12;19;19;22;21;29;29;21;13;16;15;14;25;25;20;20;20;20;15;14;10;6;8;13;11;15;14;11;9;10;11;15;16;12;14;5;11;15;7;9;6;6;9;8;5;13;6;3;11
E01000063;Barking and Dagenham 004A;1677;454;1036;21;32;29;27;37;28;30;37;32;28;29;25;22;33;24;20;19;23;26;20;16;19;15;16;24;19;20;25;31;22;25;29;29;22;29;22;17;18;22;24;26;33;25;22;25;28;26;22;18;30;24;27;17;20;15;21;17;19;15;14;14;11;8;12;15;7;8;11;15;12;12;3;7;6;7;12;3;7;9;7;5;5;4;7;2;3;6;11;3;5;10
E01000100;Barking and Dagenham 004B;1688;444;1060;26;24;24;23;29;34;35;33;30;28;25;20;24;22;28;39;23;24;31;23;30;20;21;26;17;26;22;17;25;20;18;21;25;20;24;28;19;27;24;25;31;26;19;27;25;23;26;23;27;26;28;25;24;20;20;15;18;12;15;13;18;12;17;7;7;8;14;15;11;14;7;10;8;8;6;8;4;12;9;8;7;4;4;5;2;3;4;3;0;3;7
E01000101;Barking and Dagenham 004C;1660;440;1045;30;25;25;33;32;32;35;34;31;38;18;26;19;17;19;26;27;18;36;19;10;14;13;16;17;29;25;30;16;20;19;29;31;26;30;19;31;36;26;27;23;27;24;31;19;21;21;17;32;15;22;24;21;18;17;17;22;20;16;16;15;9;9;10;15;10;10;14;14;19;7;13;7;7;6;3;4;4;7;3;8;4;2;3;4;6;2;4;3;1;10
E01000109;Barking and Dagenham 004D;1821;465;1158;35;36;38;39;35;18;30;28;36;31;20;15;24;28;23;29;28;16;35;18;19;19;30;25;32;29;23;24;26;24;37;26;20;28;34;34;32;29;27;25;21;31;31;24;30;34;18;28;19;21;28;24;22;20;13;17;26;21;20;18;11;11;12;7;11;15;14;11;13;11;12;13;11;3;7;11;5;7;6;6;11;7;8;6;3;5;1;3;3;1;5
E01000114;Barking and Dagenham 004E;2214;610;1382;34;28;47;33;39;41;41;63;39;37;36;40;25;33;40;34;37;48;35;31;25;24;26;28;24;32;24;31;22;31;37;31;23;38;28;43;32;22;25;34;32;23;43;33;37;35;32;31;32;32;30;30;39;29;30;22;22;23;18;21;10;12;15;10;10;18;13;10;16;11;10;13;7;17;5;3;8;14;15;10;5;9;8;4;4;5;3;1;7;4;2
E01000033;Barking and Dagenham 006A;1487;409;890;23;38;35;31;28;28;27;28;35;26;23;18;18;22;14;15;11;21;19;11;20;23;21;17;20;21;22;31;19;18;29;24;26;21;24;17;13;25;15;18;14;20;17;13;11;10;15;24;21;24;22;28;21;22;18;17;16;13;9;16;8;14;14;7;10;10;14;12;19;8;5;8;7;4;10;1;9;5;8;8;9;6;8;8;5;2;3;3;3;0;13
E01000060;Barking and Dagenham 006B;1947;531;1195;35;29;37;45;37;44;38;32;32;44;26;22;22;26;28;34;37;28;19;20;15;16;20;17;28;19;32;35;32;32;31;20;35;32;28;27;27;28;27;32;29;26;24;25;38;28;26;31;26;29;30;14;23;19;26;22;25;18;22;17;15;17;11;8;9;10;10;6;9;8;12;9;16;5;7;7;9;15;9;10;9;3;4;8;2;5;5;7;4;5;27
E01000061;Barking and Dagenham 006C;1868;589;1182;42;29;49;53;46;33;33;23;50;44;35;27;36;35;24;30;23;28;35;22;25;34;34;49;42;32;35;34;36;42;35;27;32;26;27;23;25;26;21;26;27;37;30;21;25;16;24;23;20;21;19;25;25;17;16;9;8;18;12;12;11;5;5;9;8;8;6;6;4;8;4;2;5;4;2;5;3;7;3;5;8;2;1;3;0;1;1;3;1;0;5
E01000062;Barking and Dagenham 006D;2040;500;1261;19;27;25;30;29;48;43;35;31;34;30;27;28;29;34;31;39;48;23;19;12;24;19;17;30;31;35;39;29;28;22;18;26;17;27;27;30;29;30;26;42;25;29;29;24;32;37;29;26;23;30;21;25;32;27;18;19;16;22;25;16;24;16;7;22;14;16;17;17;12;16;12;12;12;8;9;7;8;8;9;10;12;4;9;7;7;10;6;5;8;24
E01000064;Barking and Dagenham 006E;2073;524;1266;34;37;45;44;32;37;33;39;33;30;37;21;28;26;26;22;22;25;34;24;30;26;33;27;25;35;26;21;28;31;29;24;18;23;28;32;36;35;30;32;28;23;24;27;32;21;28;26;26;32;32;22;26;30;27;18;21;19;20;26;16;23;19;11;15;13;14;12;15;11;8;11;6;14;10;12;11;9;12;8;5;9;10;7;9;9;3;10;7;11;37
E01000065;Barking and Dagenham 007A;1793;408;1112;26;22;24;28;26;38;35;34;27;23;28;16;19;12;28;22;27;15;17;20;22;20;28;22;18;28;20;25;15;24;23;34;28;26;31;31;20;20;24;18;32;29;30;31;36;29;22;23;28;24;29;16;26;22;21;19;14;18;16;15;14;13;15;13;21;12;17;16;19;13;15;3;10;5;6;7;16;13;17;6;6;9;8;12;11;7;6;13;8;1;17
E01000078;Barking and Dagenham 007B;1788;466;1146;34;37;46;31;50;36;30;32;21;29;22;25;20;15;20;18;27;36;24;22;29;31;19;29;31;17;19;22;31;24;21;22;21;26;21;28;23;16;26;18;20;32;25;34;33;20;29;21;26;26;30;33;25;27;20;24;26;12;18;19;11;18;13;9;12;14;12;11;10;7;9;8;9;10;14;4;6;5;5;5;5;3;6;3;7;8;4;1;1;4;5
E01000080;Barking and Dagenham 007C;1615;447;1016;26;23;29;33;24;35;34;29;41;26;34;20;18;20;23;32;16;29;23;20;14;14;18;17;18;19;16;31;21;17;22;15;22;29;21;36;30;26;29;20;26;36;18;18;25;27;20;20;25;36;20;28;18;16;13;14;14;17;22;20;15;11;11;12;11;11;10;5;8;8;6;6;7;6;4;4;10;10;1;9;9;2;1;5;4;5;4;3;6;2;6
E01000081;Barking and Dagenham 007D;1746;446;1135;32;26;26;39;25;31;32;30;32;22;31;29;20;28;23;20;33;22;26;20;17;20;28;21;26;21;20;16;25;25;24;13;28;19;24;24;22;21;27;17;28;43;27;30;28;31;19;24;28;33;29;27;32;27;14;27;20;25;10;19;16;15;16;12;16;17;12;6;9;17;6;3;9;9;4;5;8;7;2;6;5;4;7;2;8;3;1;3;4;2;6
E01000082;Barking and Dagenham 007E;1816;486;1158;35;38;41;44;26;29;38;26;35;31;24;20;31;31;23;14;27;32;22;23;17;18;29;17;23;18;23;21;26;32;25;20;25;22;24;32;36;27;35;37;32;36;32;31;25;22;25;26;31;28;39;25;25;24;18;13;15;12;10;14;16;17;9;9;13;11;14;11;8;11;10;11;7;5;10;5;5;5;1;6;9;6;7;4;3;4;2;0;2;1;14
E01000083;Barking and Dagenham 007F;1775;487;1099;24;24;38;25;45;37;45;36;47;31;21;21;16;27;19;31;19;30;12;13;23;21;27;28;28;23;21;27;19;32;27;18;23;24;26;29;27;39;30;20;37;19;22;28;23;23;21;18;25;31;29;20;20;30;25;16;21;16;20;19;10;8;6;12;14;9;11;16;11;11;9;9;11;6;6;9;14;6;8;8;0;4;6;6;4;6;1;3;3;2;10
E01000102;Barking and Dagenham 007G;1675;441;1044;15;31;38;36;37;30;29;35;33;35;29;24;16;17;23;13;19;20;27;9;13;16;17;12;22;30;29;25;24;22;21;21;34;29;24;22;27;32;20;20;24;24;33;27;22;26;23;16;26;23;18;16;25;14;22;8;27;22;18;20;13;15;9;22;16;12;13;5;18;16;8;5;8;11;5;5;6;11;10;8;11;6;8;3;3;4;3;1;1;2;7
E01000021;Barking and Dagenham 008A;1617;418;1067;29;27;36;34;19;27;19;29;25;17;29;32;29;31;23;12;15;28;21;11;26;27;41;32;33;31;22;19;19;31;34;32;26;22;26;26;19;20;17;22;26;34;26;21;22;18;17;18;21;15;22;16;22;27;17;17;13;17;17;14;16;15;17;12;7;10;5;6;8;12;10;7;5;7;9;5;7;9;8;4;1;2;2;2;1;2;1;3;0;3;3
E01000022;Barking and Dagenham 008B;1347;385;860;27;17;23;26;33;30;30;29;42;16;21;16;21;18;18;18;23;21;18;21;14;13;15;14;14;21;19;21;16;20;12;18;22;24;13;20;22;14;18;24;31;22;20;28;16;17;17;20;15;19;23;14;12;15;13;30;23;12;13;13;9;16;8;5;12;10;7;6;7;6;2;4;8;2;2;3;7;3;2;5;3;2;3;5;2;1;1;1;2;0;8
E01000023;Barking and Dagenham 008C;2874;886;1845;91;79;97;73;67;59;55;65;46;41;40;39;27;44;27;36;31;40;35;19;32;29;26;34;41;51;70;76;60;85;80;71;71;66;58;65;72;51;61;59;49;38;35;46;27;40;29;25;28;32;22;19;13;23;15;13;18;10;19;14;14;8;6;5;14;9;11;11;12;10;8;10;8;1;5;5;4;6;7;1;2;5;4;4;6;3;1;0;0;2;8
E01000024;Barking and Dagenham 008D;1424;441;872;28;39;27;29;36;33;22;34;38;26;24;21;14;24;24;22;11;14;29;18;18;16;14;18;18;12;17;18;12;18;39;39;34;24;27;12;23;20;14;20;21;23;19;23;18;12;24;17;19;18;16;19;15;11;17;21;17;10;10;13;8;7;13;8;8;8;9;9;10;2;8;5;2;5;5;7;5;5;5;5;1;2;1;1;0;2;2;2;2;1;7
E01000025;Barking and Dagenham 008E;1668;409;1100;34;26;33;27;23;29;23;28;27;16;30;29;23;21;20;20;18;24;21;20;23;20;26;20;20;18;22;24;22;26;30;31;37;33;29;17;25;13;25;22;21;18;22;24;27;28;28;21;23;26;32;32;16;21;34;13;14;25;20;13;18;13;18;17;10;13;7;6;5;6;9;2;5;7;7;8;10;9;12;6;7;3;1;7;6;9;1;3;2;1;7
E01000077;Barking and Dagenham 008F;1496;395;945;23;29;35;40;29;27;30;21;20;20;22;23;16;20;23;17;17;15;22;11;19;27;19;19;24;17;18;16;12;15;21;22;30;29;15;18;27;21;23;31;19;28;35;28;32;23;23;16;19;19;24;16;16;13;21;11;21;15;13;20;14;10;2;5;14;7;11;6;6;14;10;3;5;15;8;7;7;7;2;5;4;3;7;7;2;4;2;2;7;0;5
