"","LSOA11NM","LSOA11CD","MSOA11CD","MSOA11NM","LAD11CD","LAD11NM","RGN11CD","RGN11NM","USUALRES","HHOLDRES","COMESTRES","POPDEN","HHOLDS","AVHHOLDSZ","LA.CODE","LA.NAME","X","IMD2007","INCOME2007","EMPLOYMENT2007","EDUCATION2007","IMD","Income","Employment","Education","dif_IMD","dif_income","dif_employ","dif_edu"
"971","City of London 001A","E01000001","E02000001","City of London 001","E09000001","City of London","E12000007","London",1465,1465,0,112.9,876,1.7,"00AA","City of London",NA,29006,32389,32371,30298,29111,32813,32716,32840,105,424,345,2542
"972","City of London 001B","E01000002","E02000001","City of London 001","E09000001","City of London","E12000007","London",1436,1436,0,62.9,830,1.7,"00AA","City of London",NA,31243,32410,32388,30171,28855,32780,32692,32836,-2388,370,304,2665
"973","City of London 001C","E01000003","E02000001","City of London 001","E09000001","City of London","E12000007","London",1346,1250,96,227.7,817,1.5,"00AA","City of London",NA,18799,19625,17867,25004,14621,17600,18133,22251,-4178,-2025,266,-2753
"974","City of London 001E","E01000005","E02000001","City of London 001","E09000001","City of London","E12000007","London",985,985,0,52,467,2.1,"00AA","City of London",NA,8162,3772,9524,14017,10285,7255,9641,17420,2123,3483,117,3403
"71","Barking and Dagenham 016A","E01000006","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1703,1699,4,116.2,543,3.1,"00AB","Barking and Dagenham",NA,13367,12586,18856,18749,12345,14190,16938,17806,-1022,1604,-1918,-943
"67","Barking and Dagenham 015A","E01000007","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1391,1391,0,69.6,612,2.3,"00AB","Barking and Dagenham",NA,4452,3961,9381,2757,3778,3337,4952,22384,-674,-624,-4429,19627
"68","Barking and Dagenham 015B","E01000008","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1544,1544,0,79.1,521,3,"00AB","Barking and Dagenham",NA,3291,1646,6564,6322,5028,3727,7233,9764,1737,2081,669,3442
"72","Barking and Dagenham 016B","E01000009","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1773,1773,0,138.6,638,2.8,"00AB","Barking and Dagenham",NA,7892,6612,10797,13873,6750,7136,10781,19103,-1142,524,-16,5230
"69","Barking and Dagenham 015C","E01000010","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",2840,2840,0,80.7,1103,2.6,"00AB","Barking and Dagenham",NA,2913,2478,4868,8227,7796,8548,20399,18825,4883,6070,15531,10598
"73","Barking and Dagenham 016C","E01000011","E02000017","Barking and Dagenham 016","E09000002","Barking and Dagenham","E12000007","London",1634,1628,6,178.2,457,3.6,"00AB","Barking and Dagenham",NA,7492,3879,10933,14229,8209,8170,15348,13663,717,4291,4415,-566
"70","Barking and Dagenham 015D","E01000012","E02000016","Barking and Dagenham 015","E09000002","Barking and Dagenham","E12000007","London",1901,1895,6,136.8,698,2.7,"00AB","Barking and Dagenham",NA,5428,3174,9820,10607,5475,4886,12035,13286,47,1712,2215,2679
"57","Barking and Dagenham 013A","E01000013","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1660,1660,0,79.9,650,2.6,"00AB","Barking and Dagenham",NA,4324,5916,5782,2245,4416,5479,5910,8403,92,-437,128,6158
"58","Barking and Dagenham 013B","E01000014","E02000014","Barking and Dagenham 013","E09000002","Barking and Dagenham","E12000007","London",1656,1622,34,48.5,638,2.5,"00AB","Barking and Dagenham",NA,5603,5307,5329,3898,5014,5874,7634,6988,-589,567,2305,3090
"38","Barking and Dagenham 009A","E01000015","E02000010","Barking and Dagenham 009","E09000002","Barking and Dagenham","E12000007","London",2241,2241,0,79.9,836,2.7,"00AB","Barking and Dagenham",NA,5481,4284,6371,2316,4765,3588,6594,9297,-716,-696,223,6981
